year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2004-02,2004,02,0.16642646491527557,0.006640119943767786,57359,139655,0.1882191151380539,0.1954929679632187,0.16161023713102232,0.6180811524391174,0.33224695920944214,0.2503181715162398,0.23051497254818282
2004-03,2004,03,0.4447939991950989,0.005504092667251825,65000,157342,0.18936491012573242,0.15627671778202057,0.17054071159322337,0.6035448312759399,0.2858651578426361,0.25083076923076925,0.15958247110651227
2004-04,2004,04,0.29376405477523804,0.012402157299220562,88136,174242,0.22969593107700348,0.2136487066745758,0.14366442308269725,0.636813223361969,0.4032929837703705,0.25027230643550874,0.5902913014019128
2004-05,2004,05,0.1825963258743286,0.009925167076289654,77519,177748,0.28249263763427734,0.2566601037979126,0.16221794415901364,0.6375189423561096,0.4807073771953583,0.2500161250790129,0.43563030321013035
2004-06,2004,06,0.43755269050598145,0.00770914601162076,97227,177183,0.28031620383262634,0.23068687319755554,0.13075920038602637,0.6148675680160522,0.46236881613731384,0.250105423390622,0.2972639799590969
2004-07,2004,07,0.4027886986732483,0.008820798248052597,109514,175549,0.3013090193271637,0.26217779517173767,0.12317146825690783,0.6624845266342163,0.528190016746521,0.2503880782365725,0.3666745262491179
2004-08,2004,08,0.7104541063308716,0.010375341400504112,95053,175450,0.28786754608154297,0.2680545449256897,0.13486407410217865,0.6649175882339478,0.5571888089179993,0.25057599444520423,0.46373877521731327
2004-09,2004,09,0.31909099221229553,0.007447004318237305,81362,180955,0.21080811321735382,0.18205128610134125,0.13901556345663005,0.572408139705658,0.37213560938835144,0.2501290528748064,0.28089609300054585
2004-10,2004,10,0.21945302188396454,0.004477628041058779,77421,181531,0.1859840750694275,0.1493450403213501,0.1498076706371392,0.5651552081108093,0.32111430168151855,0.25017760039265835,0.09549096108523936
2004-11,2004,11,0.2057262361049652,0.005060830619186163,78383,166441,0.14690330624580383,0.14654843509197235,0.1466264433622641,0.5683022141456604,0.2775861322879791,0.2505900514142097,0.1319055952837039
2004-12,2004,12,0.19491705298423767,0.00571962958201766,64149,135571,0.15688325464725494,0.1447712481021881,0.1781279712800927,0.6262720823287964,0.2635475695133209,0.25021434472867854,0.17304039842340624
2005-01,2005,01,0.17087316513061523,0.008468453772366047,64263,129971,0.16581390798091888,0.16845811903476715,0.1636166486251839,0.6630555987358093,0.3036046028137207,0.25005057342483233,0.3446744602768906
2005-02,2005,02,0.24623875319957733,0.01231288630515337,69682,129505,0.18567384779453278,0.18609848618507385,0.15921170389372757,0.6812282204627991,0.2964743971824646,0.25009328090468125,0.5847173023912635
2005-03,2005,03,0.09142998605966568,0.007324226200580597,68925,148699,0.18235386908054352,0.17737339437007904,0.16112541664693597,0.6298369765281677,0.3211440443992615,0.2506057308668843,0.2732299399180255
2005-04,2005,04,0.13739103078842163,0.011073881760239601,62663,174255,0.2441103309392929,0.24759411811828613,0.1801832762097924,0.5713017582893372,0.4449443519115448,0.2500518647367665,0.5073549947379953
2005-05,2005,05,0.16844770312309265,0.008962061256170273,88978,177958,0.24314548075199127,0.23795293271541595,0.1621851254760264,0.728381872177124,0.44332921504974365,0.2507136595562948,0.3754948589419139
2005-06,2005,06,0.0896548181772232,0.006643354892730713,103272,177087,0.2668147683143616,0.23494485020637512,0.12601020526887752,0.5864291191101074,0.49098527431488037,0.2503292276706174,0.2307169597950738
2005-07,2005,07,0.11491141468286514,0.010761459358036518,111498,174914,0.3379925489425659,0.31366270780563354,0.12595863572652852,0.6392297744750977,0.6712721586227417,0.25005829700981186,0.4878476264266948
2005-08,2005,08,0.12419150769710541,0.010781162418425083,96013,176527,0.2857189178466797,0.2788991332054138,0.13315812977875313,0.6626551747322083,0.5882357954978943,0.25010154874860696,0.4890778674502233
2005-09,2005,09,0.12623031437397003,0.007487812079489231,81043,180121,0.20986847579479218,0.19522158801555634,0.14462813234596883,0.6362427473068237,0.38215717673301697,0.25011413693964935,0.2834440921935854
2005-10,2005,10,0.14464989304542542,0.007359681185334921,65253,180789,0.17402300238609314,0.16790828108787537,0.1640723088290139,0.5403549075126648,0.30525657534599304,0.2502107182811518,0.2754437166548952
2005-11,2005,11,0.12598425149917603,0.005845149978995323,62261,170177,0.14446614682674408,0.1485506147146225,0.1571339238242017,0.5273997783660889,0.2659514546394348,0.2501244759962095,0.1808777769121366
2005-12,2005,12,0.10137796401977539,0.0033318428322672844,53185,145207,0.14538544416427612,0.14751067757606506,0.17054767281384905,0.5682690143585205,0.27253878116607666,0.25052176365516593,0.023949183300024723
2006-01,2006,01,0.20435528457164764,0.00786901917308569,61901,123154,0.17085464298725128,0.16994497179985046,0.16530605022522601,0.6019384264945984,0.29548609256744385,0.2504806061291417,0.3072463135619259
2006-02,2006,02,0.13027364015579224,0.006873781327158213,68421,132521,0.19419214129447937,0.208352193236351,0.1576174511498612,0.5268739461898804,0.33303412795066833,0.25012788471375746,0.24510457506638547
2006-03,2006,03,0.20119164884090424,0.009545444510877132,60970,159392,0.21282562613487244,0.23305660486221313,0.1784007981107016,0.6071358323097229,0.42426803708076477,0.2502050188617353,0.41192077442032576
2006-04,2006,04,0.15046752989292145,0.014417506754398346,70082,172940,0.23487038910388947,0.23909179866313934,0.15931037015404856,0.6548274159431458,0.43886467814445496,0.2500642104962758,0.7161278733663533
2006-05,2006,05,0.2735868990421295,0.009007163345813751,87458,178534,0.25036048889160156,0.2275732457637787,0.1519201723800582,0.6171563267707825,0.3878679573535919,0.25061172219808364,0.37831099206194774
2006-06,2006,06,0.17336894571781158,0.008926109410822392,86024,179079,0.2978844940662384,0.2694540023803711,0.1398137837381942,0.637351930141449,0.5024546384811401,0.25017436994327164,0.37325005868518923
2006-07,2006,07,0.6277770400047302,0.01262229960411787,108374,175230,0.3606594204902649,0.31922394037246704,0.12537500056530318,0.6128507852554321,0.716423749923706,0.25003229556904794,0.6040367850556071
2006-08,2006,08,0.34311723709106445,0.012693365104496479,95516,174366,0.3054742217063904,0.3000026047229767,0.13524843968984152,0.6184960603713989,0.5477437973022461,0.250020938900289,0.6084740497342496
2006-09,2006,09,0.3240649700164795,0.0073018865659832954,89993,180436,0.2151486575603485,0.19330492615699768,0.1327446475882196,0.5959390997886658,0.37092018127441406,0.2504750369473181,0.27183507361856546
2006-10,2006,10,0.1995922476053238,0.004998999647796154,73605,178613,0.17664265632629395,0.1581202894449234,0.14456983885951344,0.47594544291496277,0.3064035475254059,0.2503362543305482,0.12804492612731497
2006-11,2006,11,0.1202545017004013,0.005241535138338804,75219,163489,0.15224626660346985,0.14564351737499237,0.1665466727073895,0.5944364070892334,0.2795833945274353,0.2508541724830163,0.1431886197588042
2006-12,2006,12,0.11575505882501602,0.006900282576680183,64046,131719,0.18170945346355438,0.17697925865650177,0.16167657547169245,0.6216179728507996,0.3260193169116974,0.25014833088717486,0.24675928878566195
2007-01,2007,01,0.16901011765003204,0.002948282053694129,59398,132946,0.17675292491912842,0.16634340584278107,0.15847140364496143,0.6012336611747742,0.3165223002433777,0.2501936092124314,0.0
2007-02,2007,02,0.1331552118062973,0.012562857009470463,74922,138174,0.19415241479873657,0.20061880350112915,0.16029793109898877,0.6313307285308838,0.3624269962310791,0.2506339926857265,0.6003252439529541
2007-03,2007,03,0.18887090682983398,0.01804891787469387,72277,156992,0.23128144443035126,0.25821882486343384,0.16656526518339307,0.6988282203674316,0.4408853054046631,0.25049462484607826,0.9428698538191806
2007-04,2007,04,0.09392575174570084,0.012407587841153145,76626,168090,0.2597188651561737,0.2821881175041199,0.1414620973195233,0.6272853016853333,0.561556339263916,0.25045023882233186,0.5906303794605341
2007-05,2007,05,0.0949275866150856,0.007701865863054991,78041,179095,0.2572275400161743,0.2505105435848236,0.15358560197474905,0.6056488752365112,0.4850115478038788,0.2501761894388847,0.2968094141583349
2007-06,2007,06,0.08700084686279297,0.008395307697355747,109909,177888,0.30087438225746155,0.2851468622684479,0.1305167404642237,0.591407060623169,0.6269395351409912,0.250015922262963,0.34010728642607174
2007-07,2007,07,0.08476869761943817,0.00895470567047596,109291,173278,0.32530471682548523,0.2774358093738556,0.12265636061520663,0.6319053769111633,0.5774260759353638,0.2502035849246507,0.37503558291601924
