year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2004-08,2004,08,0.7104541063308716,0.0214997511357069,110478,175450,0.28786754608154297,0.2893480062484741,0.1452535791205635,0.6953830718994141,0.6035856008529663,0.25014935100200947,0.6502425856379132
2004-09,2004,09,0.31909099221229553,0.013687620870769024,90382,180955,0.21080811321735382,0.20825596153736115,0.15552881578755906,0.6029371619224548,0.4040135145187378,0.25056980372198007,0.39375974492463006
2004-10,2004,10,0.21945302188396454,0.00600503059104085,69303,181531,0.1859840750694275,0.17822028696537018,0.17600642650660275,0.5438010692596436,0.3932677209377289,0.2505807829386895,0.14152987776219259
2004-11,2004,11,0.2057262361049652,0.0022006151266396046,57868,166441,0.14690330624580383,0.14346642792224884,0.19021780318077,0.5188646912574768,0.295777827501297,0.2500172807078178,0.016625753986558817
2004-12,2004,12,0.19491705298423767,0.0031167976558208466,40009,135571,0.15688325464725494,0.1288818120956421,0.22389668533967608,0.5456187129020691,0.2601671516895294,0.25054362768377114,0.046705270037505506
2005-01,2005,01,0.17087316513061523,0.003336444031447172,42887,129971,0.16581390798091888,0.16561980545520782,0.19024812887273365,0.5952939987182617,0.32170772552490234,0.25000582927227366,0.05391655869533292
2005-02,2005,02,0.24623875319957733,0.006396632641553879,49529,129505,0.18567384779453278,0.180500790476799,0.21224813476982968,0.6300184726715088,0.31115812063217163,0.25011609360172826,0.1543867046376373
2005-03,2005,03,0.09142998605966568,0.0063025769777596,70830,148699,0.18235386908054352,0.16643406450748444,0.18632584546653302,0.6122872829437256,0.30631133913993835,0.25088239446562194,0.15129872952495887
2005-04,2005,04,0.13739103078842163,0.006897035054862499,67837,174255,0.2441103309392929,0.23459774255752563,0.1973024705992021,0.654159426689148,0.4249843657016754,0.2507628580273302,0.17081559510829536
2005-05,2005,05,0.16844770312309265,0.01228900533169508,104775,177958,0.24314548075199127,0.23710371553897858,0.16311460256833507,0.6776919960975647,0.4419325590133667,0.25009782868050584,0.3478412983086765
2005-06,2005,06,0.0896548181772232,0.01587539166212082,123673,177087,0.2668147683143616,0.2524581253528595,0.14193591311556059,0.6687142848968506,0.5107719302177429,0.2505963306461394,0.46558722966510857
2005-07,2005,07,0.11491141468286514,0.023966126143932343,132888,174914,0.3379925489425659,0.32948729395866394,0.13473171567787562,0.7094669342041016,0.7049318552017212,0.25000752513394736,0.7312170249932121
2005-08,2005,08,0.12419150769710541,0.024637332186102867,121101,176527,0.2857189178466797,0.30128803849220276,0.14302542728777165,0.6869065165519714,0.6354051232337952,0.2503034657021825,0.7532536304467163
2005-09,2005,09,0.12623031437397003,0.013003702275454998,106195,180121,0.20986847579479218,0.20591166615486145,0.1480491020265364,0.6384959816932678,0.3909808397293091,0.2508404350487311,0.3713057690955193
2005-10,2005,10,0.14464989304542542,0.004485522862523794,81608,180789,0.17402300238609314,0.16115523874759674,0.15924748531452612,0.5835907459259033,0.30596402287483215,0.25013479070679345,0.09164237646885086
2005-11,2005,11,0.12598425149917603,0.002487834542989731,49843,170177,0.14446614682674408,0.13503047823905945,0.20173944716392905,0.5186346173286438,0.273550808429718,0.2506670946772867,0.02605555729438645
2005-12,2005,12,0.10137796401977539,0.002043253742158413,41608,145207,0.14538544416427612,0.1495470106601715,0.20180280409942156,0.5138287544250488,0.272661417722702,0.2502403383964622,0.011459366133113042
2006-01,2006,01,0.20435528457164764,0.0032359473407268524,35169,123154,0.17085464298725128,0.1530541330575943,0.21879048750708857,0.5465232133865356,0.2801862359046936,0.2512724274218772,0.050617115925680536
